date,balance,equity,peak_equity,drawdown_pct,daily_pnl
2026-05-26,200000.0,200000.0,200000.0,0.0,0.0
2026-05-27,200070.97,200070.97,200070.97,0.0,70.96999999999998
2026-05-28,199991.16,199991.16,200070.97,0.039890844733745066,-79.81
2026-05-29,200450.65,200450.65,200450.65,0.0,459.4900000000002
2026-06-02,200676.84,200676.84,200676.84,0.0,226.18999999999997
2026-06-03,200497.71,200497.71,200676.84,0.0892629164381922,-179.1299999999999
2026-06-04,200178.28,200178.28,200676.84,0.2484392319512295,-319.43000000000006
2026-06-05,200888.02,200888.02,200888.02,0.0,709.7399999999999
2026-06-08,201588.03999999998,201588.03999999998,201588.03999999998,0.0,700.02
2026-06-09,201542.49,201542.49,201588.03999999998,0.022595586523877293,-45.550000000000004
2026-06-10,202789.53,202789.53,202789.53,0.0,1247.04
2026-06-12,202933.84,202933.84,202933.84,0.0,144.3099999999999
