ts_utc,as_of_date,asset,phase,dry_run,ensemble_avg,tau,signal,realised_vol,vol_scalar,target_signed_lots,close_price,decision,action
2026-05-10T22:05:09.701104+00:00,2026-05-08,EURUSD,demo,False,0.5016623746882303,0.377522541154645,1,0.042748935417803564,2.3392395394799284,0.8300000000000001,1.17824,LONG,OPEN_LONG
2026-05-10T22:05:11.146128+00:00,2026-05-08,GBPJPY,demo,False,0.08947874556998087,0.6312556587913455,0,0.06834344554281237,1.4631981048915221,0.0,213.614,FLAT,NO_POSITION
2026-05-11T22:05:10.958545+00:00,2026-05-11,EURUSD,demo,False,0.6207634629114623,0.377522541154645,1,0.04566203175594024,2.1900032949583075,0.78,1.17816,LONG,HOLD_LONG
2026-05-11T22:05:12.392382+00:00,2026-05-11,GBPJPY,demo,False,0.14106372128229808,0.6312556587913455,0,0.06871315391825883,1.455325426030655,0.0,213.958,FLAT,NO_POSITION
2026-05-12T22:05:05.644955+00:00,2026-05-12,EURUSD,p1,False,0.2854370431612401,0.377522541154645,1,0.04960433555348039,2.015952817111844,1.74,1.1742602586746216,LONG,HOLD_LONG
2026-05-12T22:05:08.134933+00:00,2026-05-12,GBPJPY,p1,False,0.22684254144890428,0.6312556587913455,0,0.06229039450361135,1.6053839568186135,0.0,213.8939971923828,FLAT,NO_POSITION
2026-05-14T03:17:40.108498+00:00,2026-05-13,EURUSD,p1,True,-0.5001079481985832,0.377522541154645,-1,0.04082288582212267,2.4496063417890013,-2.11,1.1735436916351318,SHORT,REVERSE_TO_SHORT
2026-05-14T03:17:41.217661+00:00,2026-05-13,GBPJPY,p1,True,-0.006600723902693276,0.6312556587913455,0,0.05907232943334547,1.6928399634694524,0.0,213.40499877929688,FLAT,NO_POSITION
2026-05-14T22:27:12.507551+00:00,2026-05-14,EURUSD,p1,False,-0.09042941303151601,0.377522541154645,0,0.041814515781043275,2.3915140025449078,0.0,1.1674060821533203,FLAT,EXIT_SHORT
2026-05-14T22:27:15.264657+00:00,2026-05-14,GBPJPY,p1,False,-0.11485198854685648,0.6312556587913455,0,0.05894695311905892,1.696440523363839,0.0,212.19200134277344,FLAT,NO_POSITION
2026-05-16T22:05:10.989042+00:00,2026-05-15,EURUSD,p1,False,-0.07874819545437602,0.377522541154645,0,0.04187717908137441,2.3879354386713385,0.0,1.163061261177063,FLAT,NO_POSITION
2026-05-16T22:05:13.522051+00:00,2026-05-15,GBPJPY,p1,False,-0.16155659021317542,0.6312556587913455,0,0.05904613721691245,1.6935908886408446,0.0,211.5290069580078,FLAT,NO_POSITION
