trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
1,EURUSD,LONG,2026-05-08,1.17824,2026-05-13,1.1735436916351318,0.8300000000000001,-389.7935942840538,-0.7795871885681076,3,signal_reverse,True
2,EURUSD,SHORT,2026-05-13,1.1735436916351318,2026-05-14,1.1674060821533203,2.11,1295.0356006622314,2.590071201324463,1,signal_flat,False
3,EURUSD,SHORT,2026-05-18,1.1663167476654053,2026-05-20,1.1629259586334229,1.97,667.9854393005371,1.3359708786010742,2,signal_flat,False
