trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
1,EURUSD,SHORT,2026-05-27,1.163061261177063,2026-05-28,1.1655012369155884,4.65,-1134.5887184143069,-0.5672943592071534,1,signal_flat,False
2,EURUSD,LONG,2026-05-29,1.1652837991714478,2026-06-01,1.1637378931045532,4.7,-726.5758514404297,-0.36328792572021484,1,signal_flat,False
3,EURUSD,LONG,2026-06-02,1.1633317470550537,2026-06-03,1.1599582433700562,5.2700000000000005,-1777.8364419937134,-0.8889182209968568,1,signal_flat,False
4,EURUSD,SHORT,2026-06-08,1.1538017988204956,2026-06-12,1.157273530960083,5.7700000000000005,-2003.1894445419312,-1.0015947222709656,4,signal_flat,False
5,GBPJPY,LONG,2026-05-25,214.56500244140625,2026-05-28,214.05099487304688,2.42,-738.0254698337886,-0.3690127349168943,3,signal_flat,False
6,GBPJPY,LONG,2026-06-02,215.31900024414062,2026-06-03,214.66000366210938,2.69,-1048.7887751726298,-0.524394387586315,1,signal_flat,False
7,GBPJPY,LONG,2026-06-09,213.57400512695312,2026-06-18,213.76400756835938,3.0,338.6488258676168,0.1693244129338084,7,signal_flat,False
