date,balance,equity,peak_equity,drawdown_pct,daily_pnl
2025-01-02,200000.0,200000.0,200000.0,0.0,0.0
2025-01-03,200000.0,200000.0,200000.0,0.0,0.0
2025-01-06,200000.0,200000.0,200000.0,0.0,0.0
2025-01-07,200000.0,200000.0,200000.0,0.0,0.0
2025-01-08,200000.0,200000.0,200000.0,0.0,0.0
2025-01-09,199596.71810188604,199596.71810188604,200000.0,0.20164094905697855,-403.2818981139674
2025-01-10,199596.71810188604,199596.71810188604,200000.0,0.20164094905697855,0.0
2025-01-13,199596.71810188604,199596.71810188604,200000.0,0.20164094905697855,0.0
2025-01-14,200022.24162140203,200022.24162140203,200022.24162140203,0.0,425.5235195159912
2025-01-15,200022.24162140203,200022.24162140203,200022.24162140203,0.0,0.0
2025-01-16,200022.24162140203,200022.24162140203,200022.24162140203,0.0,0.0
2025-01-17,200056.31819286657,200056.31819286657,200056.31819286657,0.0,34.076571464538574
2025-01-21,200056.31819286657,200056.31819286657,200056.31819286657,0.0,0.0
2025-01-22,200056.31819286657,200056.31819286657,200056.31819286657,0.0,0.0
2025-01-23,200056.31819286657,200056.31819286657,200056.31819286657,0.0,0.0
2025-01-24,200056.31819286657,200056.31819286657,200056.31819286657,0.0,0.0
2025-01-27,200056.31819286657,200056.31819286657,200056.31819286657,0.0,0.0
2025-01-28,199827.89844402976,199827.89844402976,200056.31819286657,0.11417772300327823,-228.4197488367967
2025-01-29,199827.89844402976,199827.89844402976,200056.31819286657,0.11417772300327823,0.0
2025-01-30,199827.89844402976,199827.89844402976,200056.31819286657,0.11417772300327823,0.0
2025-01-31,199827.89844402976,199827.89844402976,200056.31819286657,0.11417772300327823,0.0
2025-02-03,198989.740313384,198989.740313384,200056.31819286657,0.5331388126688973,-838.158130645752
2025-02-04,198536.09722981162,198536.09722981162,200056.31819286657,0.7598965015388124,-453.64308357238775
2025-02-05,198362.76948384257,198362.76948384257,200056.31819286657,0.8465359776297197,-173.32774596907137
2025-02-06,198362.76948384257,198362.76948384257,200056.31819286657,0.8465359776297197,0.0
2025-02-07,198362.76948384257,198362.76948384257,200056.31819286657,0.8465359776297197,0.0
2025-02-10,198287.11259297343,198287.11259297343,200056.31819286657,0.8843537739145652,-75.65689086914062
2025-02-11,199057.13470691346,199057.13470691346,200056.31819286657,0.49945110205908816,770.0221139400401
2025-02-12,199057.13470691346,199057.13470691346,200056.31819286657,0.49945110205908816,0.0
2025-02-13,199348.513366647,199348.513366647,200056.31819286657,0.35380278544224675,291.3786597335418
2025-02-14,199669.07525248075,199669.07525248075,200056.31819286657,0.19356696348500224,320.56188583374023
2025-02-18,199669.07525248075,199669.07525248075,200056.31819286657,0.19356696348500224,0.0
2025-02-19,199669.07525248075,199669.07525248075,200056.31819286657,0.19356696348500224,0.0
2025-02-20,199369.04241175298,199369.04241175298,200056.31819286657,0.34354115247238537,-300.0328407277633
2025-02-21,199758.8527354682,199758.8527354682,200056.31819286657,0.14869085869690515,389.81032371520996
2025-02-24,199758.8527354682,199758.8527354682,200056.31819286657,0.14869085869690515,0.0
2025-02-25,199758.8527354682,199758.8527354682,200056.31819286657,0.14869085869690515,0.0
2025-02-26,200047.52732844,200047.52732844,200056.31819286657,0.004394194847727587,288.67459297180176
2025-02-27,200047.52732844,200047.52732844,200056.31819286657,0.004394194847727587,0.0
2025-02-28,200047.52732844,200047.52732844,200056.31819286657,0.004394194847727587,0.0
2025-03-03,200047.52732844,200047.52732844,200056.31819286657,0.004394194847727587,0.0
2025-03-04,200047.52732844,200047.52732844,200056.31819286657,0.004394194847727587,0.0
2025-03-05,200259.29802228304,200259.29802228304,200259.29802228304,0.0,211.77069384303655
2025-03-06,200259.29802228304,200259.29802228304,200259.29802228304,0.0,0.0
2025-03-07,200259.29802228304,200259.29802228304,200259.29802228304,0.0,0.0
2025-03-10,200259.29802228304,200259.29802228304,200259.29802228304,0.0,0.0
2025-03-11,200569.17873338904,200569.17873338904,200569.17873338904,0.0,309.88071110599645
2025-03-12,200569.17873338904,200569.17873338904,200569.17873338904,0.0,0.0
2025-03-13,200569.17873338904,200569.17873338904,200569.17873338904,0.0,0.0
2025-03-14,200580.10862235405,200580.10862235405,200580.10862235405,0.0,10.929888964998653
2025-03-17,200580.10862235405,200580.10862235405,200580.10862235405,0.0,0.0
2025-03-18,200580.10862235405,200580.10862235405,200580.10862235405,0.0,0.0
2025-03-19,200580.10862235405,200580.10862235405,200580.10862235405,0.0,0.0
2025-03-20,200843.4137868424,200843.4137868424,200843.4137868424,0.0,263.30516448834607
2025-03-21,200843.4137868424,200843.4137868424,200843.4137868424,0.0,0.0
2025-03-24,200843.4137868424,200843.4137868424,200843.4137868424,0.0,0.0
2025-03-25,200843.4137868424,200843.4137868424,200843.4137868424,0.0,0.0
2025-03-26,200843.4137868424,200843.4137868424,200843.4137868424,0.0,0.0
2025-03-27,201020.57476515966,201020.57476515966,201020.57476515966,0.0,177.16097831726074
2025-03-28,201020.57476515966,201020.57476515966,201020.57476515966,0.0,0.0
2025-03-31,201233.72022300452,201233.72022300452,201233.72022300452,0.0,213.1454578448613
2025-04-01,201233.72022300452,201233.72022300452,201233.72022300452,0.0,0.0
2025-04-02,201233.72022300452,201233.72022300452,201233.72022300452,0.0,0.0
2025-04-03,201233.72022300452,201233.72022300452,201233.72022300452,0.0,0.0
2025-04-04,202299.07206683845,202299.07206683845,202299.07206683845,0.0,1065.3518438339233
2025-04-07,202299.07206683845,202299.07206683845,202299.07206683845,0.0,0.0
2025-04-08,202299.07206683845,202299.07206683845,202299.07206683845,0.0,0.0
2025-04-09,203425.82997072596,203425.82997072596,203425.82997072596,0.0,1126.7579038875042
2025-04-10,203556.3841699447,203556.3841699447,203556.3841699447,0.0,130.55419921875
2025-04-11,203556.3841699447,203556.3841699447,203556.3841699447,0.0,0.0
2025-04-14,203556.3841699447,203556.3841699447,203556.3841699447,0.0,0.0
2025-04-15,203556.3841699447,203556.3841699447,203556.3841699447,0.0,0.0
2025-04-16,203396.1470960464,203396.1470960464,203556.3841699447,0.07871876608131192,-160.23707389831543
2025-04-17,203396.1470960464,203396.1470960464,203556.3841699447,0.07871876608131192,0.0
2025-04-22,203281.75105674224,203281.75105674224,203556.3841699447,0.1349174649188007,-114.39603930413581
2025-04-23,203409.25731284576,203409.25731284576,203556.3841699447,0.07227818360937072,127.50625610351564
2025-04-24,203503.60036876265,203503.60036876265,203556.3841699447,0.025930801137629144,94.34305591689724
2025-04-25,203503.60036876265,203503.60036876265,203556.3841699447,0.025930801137629144,0.0
2025-04-28,203503.60036876265,203503.60036876265,203556.3841699447,0.025930801137629144,0.0
2025-04-29,203503.60036876265,203503.60036876265,203556.3841699447,0.025930801137629144,0.0
2025-04-30,203575.6439038697,203575.6439038697,203575.6439038697,0.0,72.0435351070498
2025-05-01,203575.6439038697,203575.6439038697,203575.6439038697,0.0,0.0
2025-05-02,203575.6439038697,203575.6439038697,203575.6439038697,0.0,0.0
2025-05-05,203351.4717582007,203351.4717582007,203575.6439038697,0.11011737031511268,-224.17214566900964
