ts_utc,as_of_date,asset,phase,dry_run,conviction,signal,target_signed_lots,close_price,decision,action
2026-05-10T22:05:09.701104+00:00,2026-05-08,EURUSD,demo,False,0.5016623746882303,1,0.8300000000000001,1.17824,LONG,OPEN_LONG
2026-05-10T22:05:11.146128+00:00,2026-05-08,GBPJPY,demo,False,0.0894787455699808,0,0.0,213.614,FLAT,NO_POSITION
2026-05-11T22:05:10.958545+00:00,2026-05-11,EURUSD,demo,False,0.6207634629114623,1,0.78,1.17816,LONG,HOLD_LONG
2026-05-11T22:05:12.392382+00:00,2026-05-11,GBPJPY,demo,False,0.141063721282298,0,0.0,213.958,FLAT,NO_POSITION
2026-05-12T22:05:05.644955+00:00,2026-05-12,EURUSD,p1,False,0.2854370431612401,1,1.74,1.1742602586746216,LONG,HOLD_LONG
2026-05-12T22:05:08.134933+00:00,2026-05-12,GBPJPY,p1,False,0.2268425414489042,0,0.0,213.8939971923828,FLAT,NO_POSITION
2026-05-14T03:17:40.108498+00:00,2026-05-13,EURUSD,p1,True,-0.5001079481985832,-1,-2.11,1.1735436916351318,SHORT,REVERSE_TO_SHORT
2026-05-14T03:17:41.217661+00:00,2026-05-13,GBPJPY,p1,True,-0.0066007239026932,0,0.0,213.40499877929688,FLAT,NO_POSITION
2026-05-14T22:27:12.507551+00:00,2026-05-14,EURUSD,p1,False,-0.090429413031516,0,0.0,1.1674060821533203,FLAT,EXIT_SHORT
2026-05-14T22:27:15.264657+00:00,2026-05-14,GBPJPY,p1,False,-0.1148519885468564,0,0.0,212.19200134277344,FLAT,NO_POSITION
2026-05-17T23:13:02.276464+00:00,2026-05-15,EURUSD,p1,False,-0.090429413031516,0,0.0,1.166208028793335,FLAT,NO_POSITION
2026-05-17T23:13:04.895249+00:00,2026-05-15,GBPJPY,p1,False,0.007158242026078,0,0.0,212.07400512695312,FLAT,NO_POSITION
2026-05-18T22:05:10.810939+00:00,2026-05-18,EURUSD,p1,False,-0.3504008374560368,-1,-1.97,1.1663167476654053,SHORT,OPEN_SHORT
2026-05-18T22:05:13.868507+00:00,2026-05-18,GBPJPY,p1,False,0.4594030829084291,1,1.19,213.2689971923828,LONG,OPEN_LONG
2026-05-19T22:05:11.024604+00:00,2026-05-19,EURUSD,p1,False,-0.3908092581355352,-1,-2.02,1.161170482635498,SHORT,HOLD_SHORT
2026-05-19T22:05:13.670166+00:00,2026-05-19,GBPJPY,p1,False,0.5178688754370385,1,1.24,213.0800018310547,LONG,HOLD_LONG
2026-05-20T22:05:11.732315+00:00,2026-05-20,EURUSD,p1,False,-0.0295710710462539,0,0.0,1.1629259586334229,FLAT,EXIT_SHORT
2026-05-20T22:05:14.147490+00:00,2026-05-20,GBPJPY,p1,False,0.8370747992757176,1,1.08,213.39300537109372,LONG,HOLD_LONG
2026-05-21T22:05:11.397441+00:00,2026-05-21,EURUSD,p1,False,-0.2090598713208523,-1,-2.16,1.16225004196167,SHORT,OPEN_SHORT
2026-05-21T22:05:13.758397+00:00,2026-05-21,GBPJPY,p1,False,0.6975933011623036,1,1.18,213.5379943847656,LONG,HOLD_LONG
2026-05-23T22:05:11.796898+00:00,2026-05-22,EURUSD,p1,False,-0.2268821922374139,-1,-2.22,1.160496711730957,SHORT,HOLD_SHORT
2026-05-23T22:05:14.493319+00:00,2026-05-22,GBPJPY,p1,False,0.5697332520770312,1,1.18,213.79800415039065,LONG,HOLD_LONG
