trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
8555919600,EURUSD,LONG,2026-05-08,1.17684,2026-05-12,1.17539,0.83,-121.51,-0.2430199999999999,4,mt5,False
8582369448,EURUSD,SHORT,2026-05-12,1.17865,2026-05-12,1.17541,0.78,252.72,0.50544,0,mt5,False
8686203845,EURUSD,SHORT,2026-05-19,1.16602,2026-05-21,1.16263,1.97,659.95,1.3199,2,mt5,False
99000000,EURUSD,SHORT,2026-05-13,1.17354,2026-05-14,1.16741,2.11,1293.43,2.5869,1,missed_fire_replay,False
98310092,EURUSD,SHORT,2026-05-22,1.16179,2026-05-23,1.16032,2.16,317.52,0.635,1,pre_ftmo_migration_lockin,False
98204182,GBPJPY,LONG,2026-05-19,213.316,2026-05-23,213.817,1.19,374.49,0.749,4,pre_ftmo_migration_lockin,False
