trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
1,EURUSD,SHORT,2025-01-08,1.034554123878479,2025-01-14,1.0265253782272339,0.53,425.5235195159912,0.8510470390319824,4,signal_flat,True
2,EURUSD,LONG,2025-01-16,1.0295268297195435,2025-01-17,1.0301949977874756,0.51,34.076571464538574,0.06815314292907715,1,signal_flat,True
3,EURUSD,LONG,2025-01-22,1.0405935049057007,2025-02-03,1.024779200553894,0.53,-838.158130645752,-1.676316261291504,8,signal_reverse,True
4,EURUSD,SHORT,2025-02-03,1.024779200553894,2025-02-04,1.0327378511428833,0.5700000000000001,-453.64308357238775,-0.9072861671447755,1,signal_reverse,True
5,EURUSD,LONG,2025-02-04,1.0327378511428833,2025-02-10,1.0311616659164429,0.48,-75.65689086914062,-0.15131378173828125,4,signal_flat,True
6,EURUSD,SHORT,2025-02-12,1.0364949703216553,2025-02-13,1.039198637008667,0.47000000000000003,-127.07233428955078,-0.25414466857910156,1,signal_reverse,True
7,EURUSD,LONG,2025-02-13,1.039198637008667,2025-02-14,1.0461673736572266,0.46,320.56188583374023,0.6411237716674805,1,signal_flat,True
8,EURUSD,LONG,2025-02-20,1.0421009063720703,2025-02-21,1.0500562191009521,0.49,389.81032371520996,0.7796206474304199,1,signal_flat,True
9,EURUSD,LONG,2025-02-25,1.0461344718933105,2025-02-26,1.0524100065231323,0.46,288.67459297180176,0.5773491859436035,1,signal_flat,True
10,EURUSD,LONG,2025-03-04,1.0485037565231323,2025-03-05,1.062699317932129,0.43,610.409140586853,1.220818281173706,1,signal_flat,True
11,EURUSD,SHORT,2025-03-13,1.0886249542236328,2025-03-14,1.085564136505127,0.39,119.37189102172852,0.23874378204345703,1,signal_flat,True
12,EURUSD,SHORT,2025-03-26,1.0787487030029297,2025-03-27,1.0742061138153076,0.39,177.16097831726074,0.3543219566345215,1,signal_flat,True
13,EURUSD,LONG,2025-04-02,1.0795987844467163,2025-04-04,1.1043744087219238,0.43,1065.3518438339233,2.1307036876678467,2,signal_flat,True
14,EURUSD,SHORT,2025-04-09,1.0980443954467773,2025-04-10,1.0952062606811523,0.46,130.55419921875,0.2611083984375,1,signal_flat,True
15,EURUSD,SHORT,2025-04-11,1.1257838010787964,2025-04-16,1.1292672157287598,0.46,-160.23707389831543,-0.32047414779663086,3,signal_flat,True
16,EURUSD,SHORT,2025-04-17,1.1396790742874146,2025-04-23,1.1351252794265747,0.28,127.50625610351564,0.2550125122070313,4,signal_flat,True
17,EURUSD,SHORT,2025-05-12,1.12296462059021,2025-05-15,1.1181930303573608,0.27,128.83293628692627,0.25766587257385254,3,signal_flat,True
18,EURUSD,LONG,2025-05-19,1.1187559366226196,2025-05-20,1.1233429908752441,0.37,169.72100734710693,0.33944201469421387,1,signal_flat,True
19,EURUSD,LONG,2025-05-23,1.1281843185424805,2025-05-26,1.1372811794281006,0.49,445.74618339538574,0.8914923667907715,1,signal_flat,True
20,EURUSD,LONG,2025-05-29,1.123368263244629,2025-05-30,1.1378376483917236,0.46,665.5917167663574,1.3311834335327148,1,signal_flat,True
21,EURUSD,LONG,2025-06-02,1.1353315114974976,2025-06-03,1.1453442573547363,0.38,380.48434257507324,0.7609686851501465,1,signal_reverse,True
22,EURUSD,SHORT,2025-06-03,1.1453442573547363,2025-06-04,1.1384464502334595,0.38,262.1166706085205,0.524233341217041,1,signal_flat,True
23,EURUSD,LONG,2025-06-10,1.1428048610687256,2025-06-12,1.1509333848953247,0.36,292.62685775756836,0.5852537155151367,2,signal_flat,True
