ts_utc,as_of_date,asset,phase,dry_run,conviction,signal,target_signed_lots,close_price,decision,action
2026-06-22T22:05:09.855606+00:00,2026-06-22,AUDJPY,p1,False,0.2,0,0.0,113.10299682617188,FLAT,NO_POSITION
2026-06-22T22:05:10.764418+00:00,2026-06-22,AUDUSD,p1,False,-0.6480930699760746,-1,-0.56,0.7003291845321655,SHORT,OPEN_SHORT
2026-06-22T22:05:11.753031+00:00,2026-06-22,EURGBP,p1,False,-0.4,-1,-2.51,0.8623999953269958,SHORT,OPEN_SHORT
2026-06-22T22:05:12.333521+00:00,2026-06-22,EURUSD,p1,False,-0.3260075886628669,0,0.0,1.143118381500244,FLAT,NO_POSITION
2026-06-22T22:05:13.283882+00:00,2026-06-22,GBPJPY,p1,False,0.6,1,0.49,214.0469970703125,LONG,OPEN_LONG
2026-06-22T22:05:14.326437+00:00,2026-06-22,GBPUSD,p1,False,-0.4,-1,-0.54,1.32538104057312,SHORT,OPEN_SHORT
2026-06-22T22:05:14.898726+00:00,2026-06-22,NZDUSD,p1,False,0.2,0,0.0,0.5715591907501221,FLAT,NO_POSITION
2026-06-22T22:05:15.822024+00:00,2026-06-22,USDCAD,p1,False,0.4649841851730122,1,1.4,1.41743004322052,LONG,OPEN_LONG
2026-06-22T22:05:16.822830+00:00,2026-06-22,USDCHF,p1,False,0.7622998179743332,1,0.55,0.8079699873924255,LONG,OPEN_LONG
2026-06-22T22:05:17.829386+00:00,2026-06-22,USDJPY,p1,False,0.4061874589410522,1,1.26,161.56199645996094,LONG,OPEN_LONG
2026-06-23T22:05:11.405202+00:00,2026-06-23,AUDJPY,p1,False,-0.0216181054345676,0,0.0,111.71299743652344,FLAT,NO_POSITION
2026-06-23T22:05:12.397246+00:00,2026-06-23,AUDUSD,p1,False,-0.0480930699760746,0,0.0,0.6918500065803528,FLAT,EXIT_SHORT
2026-06-23T22:05:13.025581+00:00,2026-06-23,EURGBP,p1,False,-1.0,-1,-2.29,0.8621500134468079,SHORT,HOLD_SHORT
2026-06-23T22:05:13.684903+00:00,2026-06-23,EURUSD,p1,False,-0.1260075886628669,0,0.0,1.1383039951324463,FLAT,NO_POSITION
2026-06-23T22:05:14.670640+00:00,2026-06-23,GBPJPY,p1,False,0.0,0,0.0,213.18899536132807,FLAT,EXIT_LONG
2026-06-23T22:05:15.810670+00:00,2026-06-23,GBPUSD,p1,False,0.3367020084738053,0,0.0,1.320062279701233,FLAT,EXIT_SHORT
2026-06-23T22:05:16.301261+00:00,2026-06-23,NZDUSD,p1,False,0.0,0,0.0,0.5668613314628601,FLAT,NO_POSITION
2026-06-23T22:05:16.895639+00:00,2026-06-23,USDCAD,p1,False,0.4649841851730122,1,1.33,1.4211900234222412,LONG,HOLD_LONG
2026-06-23T22:05:17.409643+00:00,2026-06-23,USDCHF,p1,False,0.5622998179743333,1,0.5,0.8097000122070312,LONG,HOLD_LONG
2026-06-23T22:05:17.915083+00:00,2026-06-23,USDJPY,p1,False,0.5974614283583948,1,1.02,161.5659942626953,LONG,HOLD_LONG
2026-06-24T22:05:15.055640+00:00,2026-06-24,AUDJPY,p1,False,-0.4,-1,-0.63,111.61399841308594,SHORT,OPEN_SHORT
2026-06-24T22:05:16.018901+00:00,2026-06-24,AUDUSD,p1,False,-0.3992482323870891,-1,-0.59,0.6902740597724915,SHORT,OPEN_SHORT
2026-06-24T22:05:16.546787+00:00,2026-06-24,EURGBP,p1,False,-0.8,-1,-1.72,0.8625500202178955,SHORT,HOLD_SHORT
2026-06-24T22:05:17.124254+00:00,2026-06-24,EURUSD,p1,False,-0.1922628904559953,0,0.0,1.1361054182052612,FLAT,NO_POSITION
2026-06-24T22:05:18.101694+00:00,2026-06-24,GBPJPY,p1,False,-0.3785895371184614,-1,-0.5,212.9459991455078,SHORT,OPEN_SHORT
2026-06-24T22:05:19.234528+00:00,2026-06-24,GBPUSD,p1,False,-0.4,-1,-0.51,1.3166556358337402,SHORT,OPEN_SHORT
