trade_id,asset,side,entry_date,entry_price,exit_date,exit_price,lots,pnl_usd,pnl_pct,hold_days,exit_reason,is_dry_run
478886385,AUDUSD,SHORT,2026-06-23,0.70006,2026-06-24,0.69158,0.56,468.26000000000005,0.93652,1,mt5,False
478886450,GBPJPY,LONG,2026-06-23,214.08,2026-06-24,213.252,0.49,-252.45999999999998,-0.5049199999999999,1,mt5,False
478886466,GBPUSD,SHORT,2026-06-23,1.32487,2026-06-24,1.31997,0.54,258.81,0.51762,1,mt5,False
478886481,USDCAD,LONG,2026-06-23,1.41615,2026-06-25,1.42335,1.4,703.32,1.4066400000000001,2,mt5,False
478886501,USDJPY,LONG,2026-06-23,161.579,2026-06-25,161.774,1.26,151.29999999999998,0.3026,2,mt5,False
