ts_utc,as_of_date,asset,phase,dry_run,ensemble_avg,tau,signal,realised_vol,vol_scalar,target_signed_lots,close_price,decision,action
2026-05-13T16:38:20.299611+00:00,2026-05-12,AUDJPY,demo,True,0.4847048823785518,0.6849549260809971,1,0.07290753320705486,1.3716003765482434,0.18,113.93000030517578,LONG,OPEN_LONG
2026-05-13T16:38:21.574742+00:00,2026-05-12,EURGBP,demo,True,-0.6,0.6849549260809971,-1,0.024060899112801105,3.0,-0.25,0.8657400012016296,SHORT,OPEN_SHORT
2026-05-14T03:17:39.162863+00:00,2026-05-13,AUDJPY,p1,True,0.6,0.6849549260809971,1,0.06825957064564886,1.4649960299211815,0.4,114.10199737548828,LONG,HOLD_LONG
2026-05-14T03:17:39.758718+00:00,2026-05-13,AUDUSD,p1,True,-0.2,0.6849549260809971,0,0.07545914831452626,1.325220364046297,0.0,0.7237801551818848,FLAT,NO_POSITION
2026-05-14T03:17:40.349574+00:00,2026-05-13,EURGBP,p1,True,-0.4,0.6849549260809971,-1,0.023814178956762667,3.0,-0.5,0.8667700290679932,SHORT,HOLD_SHORT
2026-05-14T03:17:41.011438+00:00,2026-05-13,EURUSD,p1,True,-0.6,0.6849549260809971,-1,0.04082288582212267,2.4496063417890013,-0.37,1.1735436916351318,SHORT,OPEN_SHORT
2026-05-14T03:17:41.619097+00:00,2026-05-13,GBPJPY,p1,True,0.6,0.6849549260809971,1,0.05907232943334547,1.6928399634694524,0.24,213.40499877929688,LONG,OPEN_LONG
2026-05-14T03:17:42.217689+00:00,2026-05-13,GBPUSD,p1,True,-0.795152493908375,0.6849549260809971,-1,0.05126289977170578,1.9507285082455352,-0.26,1.3537001609802246,SHORT,OPEN_SHORT
2026-05-14T03:17:42.881495+00:00,2026-05-13,NZDUSD,p1,True,-0.2,0.6849549260809971,0,0.08931647697960773,1.119614245676433,0.0,0.5952416062355042,FLAT,NO_POSITION
2026-05-14T03:17:43.489872+00:00,2026-05-13,USDCAD,p1,True,0.5979171070700955,0.6849549260809971,1,0.042827462155465956,2.3349504025476624,0.42,1.369729995727539,LONG,OPEN_LONG
2026-05-14T03:17:44.084051+00:00,2026-05-13,USDCHF,p1,True,0.6,0.6849549260809971,1,0.06385529180106721,1.5660409212683093,0.28,0.7804099917411804,LONG,OPEN_LONG
2026-05-14T03:17:44.666131+00:00,2026-05-13,USDJPY,p1,True,0.036078095152333,0.6849549260809971,0,0.08404034759324423,1.1899046453734412,0.0,157.67100524902344,FLAT,NO_POSITION
2026-05-14T22:27:13.620212+00:00,2026-05-14,AUDJPY,p1,False,0.8,0.6849549260809971,1,0.06824511657072042,1.4653063109119746,0.36,114.35700225830078,LONG,HOLD_LONG
